Timestamp,PlateNumber,DetectionScore,OcrConfidence,CombinedScore
2025-09-07T08:17:28.126465+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:28.197959+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:28.238506+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:28.284510+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:28.332523+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:28.399306+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:28.438323+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:28.487725+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:28.529046+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:28.570234+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:28.623349+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:28.664853+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:28.713654+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:28.780651+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:28.831857+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:28.898914+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:28.917863+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:28.969113+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.010152+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.062261+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.102257+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.163981+00:00,GJ36AJ8335,0.85,0.991,0.9205
2025-09-07T08:17:29.209747+00:00,GJ36AJ8335,0.85,0.991,0.9205
